,date,nsw_cvm,vic_cvm,qld_cvm,sa_cvm,wa_cvm,tas_cvm,nt_cvm,act_cvm,aus_cvm
0,1990-06-01,335735,216165,141394,62973,113786,17721,11319,15577,925958
1,1991-06-01,337278,210558,141579,62741,114505,17702,11607,15960,922422
2,1992-06-01,337926,207543,146454,61664,118247,18138,11298,16026,926367
3,1993-06-01,347414,217875,155635,63323,123722,18726,11314,16639,963840
4,1994-06-01,360245,225250,163389,65059,132148,19124,11116,17377,1002198
5,1995-06-01,373474,232307,172822,65967,139504,19616,11655,18027,1041115
6,1996-06-01,387865,240327,178624,68639,147706,20368,12585,18049,1081343
7,1997-06-01,400572,250923,188157,71249,152776,20714,12849,18797,1123658
8,1998-06-01,415409,265717,195747,75166,161351,21489,13720,19548,1176057
9,1999-06-01,435452,282577,207327,76736,166252,21981,15284,20692,1235185
10,2000-06-01,454551,292216,216949,79433,173079,22107,15117,21222,1283623
11,2001-06-01,462443,297726,223422,81859,174727,21921,15727,22320,1309618
12,2002-06-01,471052,309125,237637,85909,186351,23077,17042,23092,1361736
13,2003-06-01,480849,317744,248524,88107,195996,23727,17235,24136,1403823
14,2004-06-01,494126,329621,265133,91029,210295,24945,17367,24855,1463125
15,2005-06-01,500740,343515,279279,92929,218121,25593,18162,25665,1509274
16,2006-06-01,506876,351392,293682,94203,228867,26614,19356,26309,1550859
17,2007-06-01,515768,361288,313527,95914,244161,27324,21750,27893,1609379
18,2008-06-01,526459,374193,328402,100398,256777,28480,21977,29174,1667095
19,2009-06-01,534051,381400,332831,103137,262862,29285,23843,29966,1698646
20,2010-06-01,542558,385336,339914,105358,278607,29543,23732,31273,1736467
21,2011-06-01,553440,396253,342795,107659,291562,30250,24414,32182,1778298
22,2012-06-01,566882,405822,362790,108761,315714,30849,25391,33542,1847979
23,2013-06-01,579398,409802,373159,109578,334784,30685,27120,34647,1896141
24,2014-06-01,593009,418902,380604,110004,354070,31155,27450,34727,1945581
25,2015-06-01,609333,430757,383818,111249,362109,31515,27816,35714,1988419
26,2016-06-01,631961,445714,392991,111865,365881,32085,28367,37400,2043680
27,2017-06-01,648206,462737,403260,114015,362200,32473,28782,38912,2091067
28,2018-06-01,662829,478591,419368,116570,370153,33667,29356,40505,2151841
29,2019-06-01,680189,493087,423285,117925,376299,34897,29020,42197,2198775
30,2020-06-01,673316,491651,418498,116749,380717,34931,30758,43759,2191416
31,2021-06-01,688693,490667,430157,122455,393223,36598,30253,45467,2237695
32,2022-06-01,706732,521709,454026,129272,404762,38171,31792,46757,2333221
33,2023-06-01,733087,535489,464580,134209,418775,38584,30123,48767,2403614
