year,month,date,temp_mean,temp_min,temp_max,temp_avg_daily_min,temp_avg_daily_max,demand_mean,demand_max,demand_avg_daily_max,total_consumption,pv_capacity,population,gsp
2010,1,2010-01-01,20.86800818553888,1.6,41.1,16.380645161290325,25.858064516129033,8941.450388813097,13765.04,10613.53,6554083.135,28278.391999999996,7110454,44504.25
2010,2,2010-02-01,20.21890660592255,3.2,35.4,16.146428571428572,24.682142857142857,8855.467676537584,13377.27,10380.667857142858,5831325.465,32153.985999999997,7119405,44504.25
2010,3,2010-03-01,19.828286304198212,6.3,34.7,15.496774193548386,24.725806451612904,8698.72512732278,11991.47,10132.97870967742,6319623.805,38195.587999999996,7128356,44504.25
2010,4,2010-04-01,17.59385593220339,6.5,29.9,12.78,23.063333333333333,8452.86341101695,11436.13,9804.072333333334,5984627.295,45142.723,7133668,44504.25
2010,5,2010-05-01,15.32348484848485,3.1,28.4,11.187096774193549,19.596774193548388,8897.770509641872,12386.49,10558.023548387097,6459781.39,54370.331999999995,7138980,44504.25
2010,6,2010-06-01,13.343316654753394,-0.5,28.4,8.646666666666667,18.886666666666667,9292.65040743388,13176.33,11166.055666666665,6500208.96,67655.211,7144292,45213.166666666664
2010,7,2010-07-01,13.825424881033312,2.8,26.9,9.577419354838709,18.638709677419353,9275.026634942216,12616.29,11042.443548387097,6821782.09,82468.773,7150436,45213.166666666664
2010,8,2010-08-01,14.778943805010156,2.8,30.1,9.30967741935484,20.154838709677417,9049.913818551118,12158.8,10792.757419354839,6683361.355,99109.06700000001,7156581,45213.166666666664
2010,9,2010-09-01,16.163807531380755,3.4,36.3,10.610000000000001,22.21333333333333,8696.126729428173,12065.1,10181.642666666668,6235122.865,117755.48700000001,7162726,45213.166666666664
2010,10,2010-10-01,17.435457627118645,4.6,29.8,12.351612903225806,22.629032258064516,8515.194583050847,12394.02,9743.66064516129,6279956.005,138731.57,7168447,45213.166666666664
2010,11,2010-11-01,19.22271777003484,3.6,31.4,14.496666666666666,24.06,8551.468634146342,12606.64,9898.372,6135678.745,162730.203,7174169,45213.166666666664
2010,12,2010-12-01,19.776297814207652,5.0,36.8,14.899999999999999,24.683870967741935,8458.066386612021,13700.02,9876.787096774195,6191304.595,179042.63,7179891,45213.166666666664
2011,1,2011-01-01,21.972666218938883,5.1,40.6,17.280645161290323,27.358064516129033,9060.674083277368,14579.86,10827.547096774195,6745671.855,206517.39800000002,7188173,45213.166666666664
2011,2,2011-02-01,20.17313988095238,4.9,34.2,16.114285714285714,24.62857142857143,8771.796488095239,14417.03,10212.012857142856,5894647.24,232656.97400000002,7196455,45213.166666666664
2011,3,2011-03-01,19.311432414256892,5.8,36.7,15.33548387096774,24.24516129032258,8555.988103564223,14449.88,9890.395161290322,6361377.155,261312.77300000002,7204737,45213.166666666664
2011,4,2011-04-01,16.912508686587906,6.1,33.1,12.406666666666666,21.720000000000002,8353.12298818624,13810.3,9753.017666666668,6010071.99,285075.168,7209334,45213.166666666664
2011,5,2011-05-01,14.591862811028916,3.1,40.7,9.490322580645161,20.25483870967742,8992.449630127774,13121.52,10652.28935483871,6685886.3,313304.09500000003,7213931,45213.166666666664
2011,6,2011-06-01,14.051947148817803,2.0,32.6,8.723333333333333,19.58,9103.968511821975,12354.12,10917.416333333333,6545753.36,345015.905,7218529,46120.0
2011,7,2011-07-01,12.975604838709678,3.7,28.9,8.516129032258064,18.103225806451615,9313.327392473118,12883.81,11151.28,6929115.58,349928.416,7225528,46120.0
2011,8,2011-08-01,14.488440860215054,1.0,32.8,9.33548387096774,19.516129032258064,8884.447170698924,12736.43,10493.39935483871,6610028.695,354219.08800000005,7232528,46120.0
2011,9,2011-09-01,16.189999999999998,3.7,32.0,10.26,22.14,8540.500645833334,12367.92,9944.672666666667,6149160.465,358342.85900000005,7239528,46120.0
2011,10,2011-10-01,17.76788617886179,2.9,32.4,12.612903225806452,22.74516129032258,8400.423157181573,12058.56,9586.06870967742,6199512.29,363021.45900000003,7245926,46120.0
2011,11,2011-11-01,18.97517385257302,2.0,36.0,14.203333333333335,23.8,8598.75576495132,12055.05,10051.121666666668,6182505.395,369051.16400000005,7252324,46120.0
2011,12,2011-12-01,18.45967741935484,3.4,29.1,14.764516129032257,22.206451612903226,8166.682385752689,11960.01,9295.931935483872,6076011.695,374201.22200000007,7258722,46120.0
2012,1,2012-01-01,20.188298587760592,2.9,35.6,15.874193548387098,24.5,8374.710403496973,11887.6,9763.614516129031,6226597.185,378395.97300000006,7267475,46120.0
2012,2,2012-02-01,19.546264367816093,2.0,31.2,15.420689655172414,23.920689655172417,8432.969856321839,11695.39,9828.103793103448,5869347.02,384268.55500000005,7276228,46120.0
2012,3,2012-03-01,18.305799055967633,3.1,29.5,13.970967741935485,23.241935483870968,8189.979480782198,11801.08,9419.454193548389,6072869.785,392070.20600000006,7284982,46120.0
2012,4,2012-04-01,17.42811188811189,1.3,35.5,12.446666666666665,23.333333333333332,8150.186230769231,11738.11,9562.088666666667,5827383.155,400457.75100000005,7291402,46120.0
2012,5,2012-05-01,14.395488215488214,1.6,33.1,8.938709677419356,20.538709677419355,8645.950686868686,12152.87,10350.13935483871,6419618.385,417835.41800000006,7297823,46120.0
2012,6,2012-06-01,13.660848400556327,1.7,28.6,8.456666666666667,18.866666666666667,8806.148560500696,12096.07,10577.737333333333,6331620.815,448520.6060000001,7304244,47240.166666666664
2012,7,2012-07-01,13.128059499661935,3.9,26.8,8.461290322580645,18.40967741935484,8611.953772819474,11897.55,10339.233870967742,6368539.815,456671.4470000001,7312034,47240.166666666664
2012,8,2012-08-01,14.198520511096167,1.0,28.7,8.287096774193548,20.81935483870968,8356.825978480161,11504.56,9897.835161290323,6213300.115,465721.5990000001,7319824,47240.166666666664
2012,9,2012-09-01,15.898749131341209,4.2,32.0,10.056666666666667,22.14333333333333,7866.8557400972895,11270.91,9172.293333333333,5660202.705,474826.8120000001,7327614,47240.166666666664
2012,10,2012-10-01,16.82394082044385,4.7,32.3,11.058064516129033,22.9,7812.742078009415,11344.03,8894.37064516129,5808773.735,485606.7150000001,7336139,47240.166666666664
